GP1,GP2,S
2,26,1
3,25,1
4,24,1
5,23,1
6,22,1
7,21,1
8,20,1
9,19,1
10,18,1
11,17,1
12,16,1
13,15,1
14,14,1
15,13,1
16,12,1
17,11,1
18,10,1
19,9,1
20,8,1
21,7,1
22,6,1
23,5,1
24,4,1
25,3,1
26,2,1
27,1,1
28,0,1
0,29,2
1,28,2
2,27,2
3,26,2
4,25,2
5,24,2
6,23,2
7,22,2
8,21,2
9,20,2
10,19,2
11,18,2
12,17,2
13,16,2
14,15,2
15,14,2
16,13,2
17,12,2
18,11,2
19,10,2
20,9,2
21,8,2
22,7,2
23,6,2
24,5,2
25,4,2
26,3,2
27,2,2
28,1,2
29,0,2
0,30,loss
1,29,loss
2,28,loss
3,27,loss
4,26,loss
5,25,loss
6,24,loss
7,23,loss
8,22,loss
9,21,loss
10,20,loss
11,19,loss
12,18,loss
13,17,loss
14,16,loss
15,15,loss
16,14,loss
17,13,loss
18,12,loss
19,11,loss
20,10,loss
21,9,loss
22,8,loss
23,7,loss
24,6,loss
25,5,loss
26,4,loss
27,3,loss
28,2,loss
29,1,loss
30,0,loss
